order_id,customer_id,product_id,product_name,order_status,shipping_status,return_exchange_status,order_date,delivery_date
O001,CUST001,prod001,ZenSound Wireless Headphones,Delivered,Delivered,Not Returned,10/25/24 10:00,10/30/24 12:00
O002,CUST002,prod002,VitaFit Smartwatch,Shipped,In Transit,Not Returned,10/28/24 14:00,11/3/24 16:00
O003,CUST003,prod003,ProMax Laptop,Delivered,Delivered,Returned,10/20/24 9:30,10/25/24 18:00
O004,CUST004,prod004,SonicWave Bluetooth Speaker,Processing,Not Shipped,Not Returned,11/1/24 15:45,N/A
O005,CUST001,prod005,Nova 5G Smartphone,Cancelled,N/A,Not Returned,11/2/24 11:20,N/A
O006,CUST003,prod002,VitaFit Smartwatch,Delivered,Delivered,Not Returned,10/17/24 13:45,10/22/24 11:30
O007,CUST004,prod001,ZenSound Wireless Headphones,Shipped,In Transit,Not Returned,10/12/24 9:15,10/18/24 14:50
O008,CUST005,prod003,ProMax Laptop,Delivered,Delivered,Returned,9/15/24 10:20,9/20/24 17:25
O009,CUST002,prod004,SonicWave Bluetooth Speaker,Processing,Not Shipped,Not Returned,10/23/24 16:40,N/A
O010,CUST001,prod002,VitaFit Smartwatch,Delivered,Delivered,Not Returned,10/7/24 8:30,10/11/24 13:20
O011,CUST003,prod005,Nova 5G Smartphone,Shipped,In Transit,Not Returned,11/3/24 14:10,11/7/24 16:55
O012,CUST004,prod005,Nova 5G Smartphone,Delivered,Delivered,Not Returned,10/1/24 12:05,10/6/24 15:10
O013,CUST005,prod001,ZenSound Wireless Headphones,Processing,Not Shipped,Not Returned,10/20/24 18:00,N/A
O014,CUST001,prod003,ProMax Laptop,Delivered,Delivered,Returned,9/25/24 9:10,10/1/24 15:30
O015,CUST002,prod003,ProMax Laptop,Delivered,Delivered,Not Returned,9/18/24 12:45,9/23/24 19:50
O016,CUST003,prod004,SonicWave Bluetooth Speaker,Shipped,In Transit,Not Returned,9/15/24 14:55,9/21/24 10:40
O017,CUST004,prod002,VitaFit Smartwatch,Delivered,Delivered,Returned,8/20/24 13:30,8/25/24 11:00
O018,CUST005,prod005,Nova 5G Smartphone,Processing,Not Shipped,Not Returned,10/14/24 11:50,N/A
O019,CUST001,prod004,SonicWave Bluetooth Speaker,Delivered,Delivered,Not Returned,10/1/24 10:10,10/6/24 12:45
O020,CUST002,prod001,ZenSound Wireless Headphones,Cancelled,N/A,Not Returned,10/9/24 16:00,N/A
O021,CUST006,prod006,SoundSphere Pro Headphones,Delivered,Delivered,Not Returned,10/29/24 11:10,11/2/24 14:30
O022,CUST007,prod007,TrackMaster Smartwatch,Shipped,In Transit,Not Returned,10/27/24 13:40,11/1/24 16:10
O023,CUST008,prod008,ThunderBolt Speaker,Processing,Not Shipped,Not Returned,11/5/24 9:20,N/A
O024,CUST009,prod009,UltraBook Pro Laptop,Delivered,Delivered,Returned,10/15/24 15:30,10/22/24 17:20
O025,CUST010,prod010,GigaBook Gaming Laptop,Cancelled,N/A,Not Returned,10/25/24 12:50,N/A
O026,CUST011,prod011,FlexTab Convertible Laptop,Delivered,Delivered,Not Returned,10/10/24 8:00,10/15/24 14:45
O027,CUST012,prod012,Alpha One 5G,Shipped,In Transit,Not Returned,11/2/24 10:30,11/7/24 16:25
O028,CUST013,prod013,Eclipse X Smartphone,Delivered,Delivered,Not Returned,9/30/24 9:15,10/5/24 15:35
O029,CUST014,prod014,Infinity Ultra 5G,Processing,Not Shipped,Not Returned,10/31/24 11:45,N/A
O030,CUST015,prod001,ZenSound Wireless Headphones,Delivered,Delivered,Not Returned,10/18/24 13:00,10/23/24 18:20
O031,CUST016,prod002,VitaFit Smartwatch,Shipped,In Transit,Not Returned,11/3/24 12:40,11/8/24 17:15
O032,CUST006,prod004,SonicWave Bluetooth Speaker,Delivered,Delivered,Returned,10/8/24 10:25,10/12/24 16:45
O033,CUST007,prod005,Nova 5G Smartphone,Delivered,Delivered,Not Returned,10/3/24 15:15,10/9/24 13:35
O034,CUST008,prod006,SoundSphere Pro Headphones,Processing,Not Shipped,Not Returned,10/27/24 8:20,N/A
O035,CUST009,prod007,TrackMaster Smartwatch,Shipped,In Transit,Not Returned,11/1/24 14:00,11/6/24 18:25
O036,CUST010,prod008,ThunderBolt Speaker,Delivered,Delivered,Not Returned,10/11/24 9:50,10/16/24 14:10
O037,CUST011,prod009,UltraBook Pro Laptop,Processing,Not Shipped,Not Returned,10/29/24 15:35,N/A
O038,CUST012,prod010,GigaBook Gaming Laptop,Shipped,In Transit,Not Returned,10/20/24 10:55,10/25/24 15:45
O039,CUST013,prod011,FlexTab Convertible Laptop,Delivered,Delivered,Returned,9/10/24 11:10,9/15/24 16:20
O040,CUST014,prod012,Alpha One 5G,Delivered,Delivered,Not Returned,10/15/24 12:00,10/20/24 14:30

