Product ID,Product Name,Category,Description,Battery Life,Connectivity,Weight,Dimensions,Charging Time,Material,Water Resistance,Processor,RAM,Storage,Screen Size,Graphics,Operating System,Resolution,Battery Capacity,Camera,Storage Options
,,,,,,,,,,,,,,,,,,,,
P001,wireless headphones,headphones,"Noise-canceling, Bluetooth enabled",Up to 10 hours,Bluetooth 5.0,250g,6.5 x 6 x 2 inches,2 hours,"ABS plastic, metal alloy",IPX4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
P002,smartwatch,watches,"Fitness tracking, waterproof",Up to 10 hours,Bluetooth 5.0,250g,6.5 x 6 x 2 inches,2 hours,"ABS plastic, metal alloy",IPX4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
P003,laptop,computers,"High-performance, 16GB RAM, 512GB SSD",Up to 8 hours,,1.5 kg,,,,,Intel Core i7,16GB,512GB SSD,15.6 inches,Integrated Intel UHD Graphics,Windows 10,,,,
,,,,,,,,,,,,,,,,,,,,
P004,bluetooth speaker,speakers,"Portable, long battery life",Up to 10 hours,Bluetooth 5.0,250g,6.5 x 6 x 2 inches,2 hours,"ABS plastic, metal alloy",IPX4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
P005,smartphone,phones,"Latest model, 5G enabled",,,,,,,,,,,,,,,,,
