customer_id,product_id,purchase_date,quantity,purchase_amount,payment_method
CUST001,P001,10/15/23,1,450,Credit Card
CUST002,P002,8/20/23,3,75,PayPal
CUST003,P003,9/5/23,2,300,Debit Card
CUST004,P003,7/22/23,5,125,Credit Card
CUST005,P004,11/1/23,1,200,PayPal
CUST001,P002,6/15/23,4,320,Credit Card
CUST002,P001,9/1/23,2,100,Debit Card
CUST003,P004,10/1/23,1,250,PayPal
CUST004,P005,8/10/23,3,450,Gift Card
CUST005,P002,7/25/23,5,175,Debit Card
CUST001,P003,11/5/23,2,330,Credit Card
CUST002,P004,7/15/23,1,80,PayPal
CUST003,P001,9/15/23,2,190,Credit Card
CUST004,P002,10/20/23,3,75,Gift Card
CUST005,P005,8/15/23,4,500,Debit Card
CUST001,P004,9/20/23,3,225,PayPal
