Order ID,Customer ID,Product ID,Product Name,Order Status,Shipping Status,Return/Exchange Status,Order Date,Delivery Date
O001,CUST001,P001,Wireless Headphones,Delivered,Delivered,Not Returned,10/25/24 10:00,10/30/24 12:00
O002,CUST002,P002,Smartwatch,Shipped,In Transit,Not Returned,10/28/24 14:00,11/3/24 16:00
O003,CUST003,P003,Laptop,Delivered,Delivered,Returned,10/20/24 9:30,10/25/24 18:00
O004,CUST004,P004,Bluetooth Speaker,Processing,Not Shipped,Not Returned,11/1/24 15:45,N/A
O005,CUST001,P005,Smartphone,Cancelled,N/A,Not Returned,11/2/24 11:20,N/A
O006,CUST003,P002,Smartwatch,Delivered,Delivered,Not Returned,10/17/24 13:45,10/22/24 11:30
O007,CUST004,P001,Wireless Headphones,Shipped,In Transit,Not Returned,10/12/24 9:15,10/18/24 14:50
O008,CUST005,P003,Laptop,Delivered,Delivered,Returned,9/15/24 10:20,9/20/24 17:25
O009,CUST002,P004,Bluetooth Speaker,Processing,Not Shipped,Not Returned,10/23/24 16:40,N/A
O010,CUST001,P002,Smartwatch,Delivered,Delivered,Not Returned,10/7/24 8:30,10/11/24 13:20
O011,CUST003,P005,Smartphone,Shipped,In Transit,Not Returned,11/3/24 14:10,11/7/24 16:55
O012,CUST004,P005,Smartphone,Delivered,Delivered,Not Returned,10/1/24 12:05,10/6/24 15:10
O013,CUST005,P001,Wireless Headphones,Processing,Not Shipped,Not Returned,10/20/24 18:00,N/A
O014,CUST001,P003,Laptop,Delivered,Delivered,Returned,9/25/24 9:10,10/1/24 15:30
O015,CUST002,P003,Laptop,Delivered,Delivered,Not Returned,9/18/24 12:45,9/23/24 19:50
O016,CUST003,P004,Bluetooth Speaker,Shipped,In Transit,Not Returned,9/15/24 14:55,9/21/24 10:40
O017,CUST004,P002,Smartwatch,Delivered,Delivered,Returned,8/20/24 13:30,8/25/24 11:00
O018,CUST005,P005,Smartphone,Processing,Not Shipped,Not Returned,10/14/24 11:50,N/A
O019,CUST001,P004,Bluetooth Speaker,Delivered,Delivered,Not Returned,10/1/24 10:10,10/6/24 12:45
O020,CUST002,P001,Wireless Headphones,Cancelled,N/A,Not Returned,10/9/24 16:00,N/A
